CustomerID,Recency,Frequency,Monetary,R,F,M,RFM_Score,Segment
442,40,2,421.41942066,5,5,5,555,Champions
474,185,1,288.8941216,3,1,4,314,Big Spenders
514,264,1,285.4230248,2,1,4,214,Big Spenders
520,270,1,249.873012,2,1,4,214,Big Spenders
527,351,1,185.9614176,1,1,3,113,Others
534,107,1,342.3247791,4,1,5,415,Recent Customers
552,36,1,330.8429636,5,1,4,514,Recent Customers
559,280,1,34.09503496,2,1,1,211,At Risk
580,255,1,156.3773577,2,1,3,213,Others
587,227,1,40.97817374,2,1,1,211,At Risk
609,63,1,349.9852454,5,1,5,515,Recent Customers
610,115,1,109.4544639,4,1,2,412,Recent Customers
631,124,1,166.9333804,4,1,3,413,Recent Customers
646,48,1,196.3257023,5,1,3,513,Recent Customers
651,339,1,68.77268255,1,1,1,111,At Risk
666,70,1,394.8584194,5,1,5,515,Recent Customers
670,344,1,112.7046451,1,1,2,112,At Risk
693,274,1,122.9336987,2,1,2,212,At Risk
708,167,1,69.60258911,3,1,1,311,Others
709,235,1,416.5401857,2,1,5,215,Big Spenders
712,240,1,149.072887,2,1,3,213,Others
730,245,1,185.9620483,2,1,3,213,Others
736,277,1,151.0488534,2,1,3,213,Others
737,248,1,266.8924833,2,1,4,214,Big Spenders
743,25,1,117.7390525,5,1,2,512,Recent Customers
744,145,1,239.6018409,3,1,4,314,Big Spenders
754,3,1,271.0245573,5,1,4,514,Recent Customers
762,350,1,393.2318981,1,1,5,115,Big Spenders
766,28,1,146.5728527,5,1,3,513,Recent Customers
779,102,1,86.14907415,4,1,2,412,Recent Customers
780,281,1,224.5551909,2,1,3,213,Others
783,2,1,404.5467937,5,1,5,515,Recent Customers
802,27,1,266.0534903,5,1,4,514,Recent Customers
805,320,1,142.4159538,1,1,3,113,Others
838,60,1,248.7114766,5,1,4,514,Recent Customers
845,192,1,495.9229396,3,1,5,315,Big Spenders
847,206,1,155.268144,3,1,3,313,Others
902,325,1,94.7314108,1,1,2,112,At Risk
904,278,1,59.66523162,2,1,1,211,At Risk
905,146,1,160.9693717,3,1,3,313,Others
907,113,1,415.958306,4,1,5,415,Recent Customers
911,39,1,479.2986632,5,1,5,515,Recent Customers
926,154,1,248.04097,3,1,4,314,Big Spenders
948,322,1,29.74638352,1,1,1,111,At Risk
959,269,1,433.5765943,2,1,5,215,Big Spenders
960,161,1,247.7994053,3,1,4,314,Big Spenders
966,214,1,292.8664938,3,1,4,314,Big Spenders
968,45,1,158.5599548,5,1,3,513,Recent Customers
969,312,1,107.6493372,1,1,2,112,At Risk
975,152,2,242.2662475,3,5,4,354,Frequent Buyers
976,354,1,315.7386757,1,1,4,114,Big Spenders
985,15,1,48.97583684,5,1,1,511,Recent Customers
994,155,1,104.049533,3,1,2,312,Others
1001,67,1,41.70059044,5,1,1,511,Recent Customers
1026,283,1,73.20205033,2,1,1,211,At Risk
1052,332,1,78.76129242,1,1,2,112,At Risk
1054,1,1,72.62618499,5,1,1,511,Recent Customers
1063,69,1,50.63871435,5,1,1,511,Recent Customers
1072,156,1,215.6081748,3,1,3,313,Others
1084,316,1,363.0288532,1,1,5,115,Big Spenders
1090,203,1,101.0351008,3,1,2,312,Others
1100,92,1,295.647738,4,1,4,414,Recent Customers
1101,109,1,16.04248262,4,1,1,411,Recent Customers
1105,179,1,115.8996947,3,1,2,312,Others
1112,44,1,57.7989264,5,1,1,511,Recent Customers
1118,28,1,74.07891042,5,1,1,511,Recent Customers
1148,121,1,82.01862836,4,1,2,412,Recent Customers
1154,226,1,92.03442694,2,1,2,212,At Risk
1163,103,1,12.33897937,4,1,1,411,Recent Customers
1164,179,1,450.346651,3,1,5,315,Big Spenders
1188,120,1,150.750972,4,1,3,413,Recent Customers
1195,324,1,167.9598365,1,1,3,113,Others
1201,287,1,26.60895867,2,1,1,211,At Risk
1202,75,1,345.7333292,4,1,5,415,Recent Customers
1206,156,1,243.643317,3,1,4,314,Big Spenders
1208,131,1,147.829605,4,1,3,413,Recent Customers
1226,135,1,128.7932702,4,1,2,412,Recent Customers
1236,207,1,296.329184,3,1,4,314,Big Spenders
1252,6,1,252.9779096,5,1,4,514,Recent Customers
1255,189,1,66.47699225,3,1,1,311,Others
1257,12,1,20.90873773,5,1,1,511,Recent Customers
1296,97,1,106.4183652,4,1,2,412,Recent Customers
1309,279,1,81.32777936,2,1,2,212,At Risk
1319,275,1,61.96382407,2,1,1,211,At Risk
1324,37,1,258.9160457,5,1,4,514,Recent Customers
1327,187,1,273.5491913,3,1,4,314,Big Spenders
1359,364,1,229.3873143,1,1,4,114,Big Spenders
1368,75,1,306.5991545,4,1,4,414,Recent Customers
1375,278,1,119.7823451,2,1,2,212,At Risk
1377,296,1,307.6840722,1,1,4,114,Big Spenders
1412,7,1,359.8052256,5,1,5,515,Recent Customers
1414,63,1,62.35189259,5,1,1,511,Recent Customers
1420,168,1,322.2443165,3,1,4,314,Big Spenders
1427,319,1,353.1938183,1,1,5,115,Big Spenders
1437,11,1,260.5744653,5,1,4,514,Recent Customers
1442,324,1,367.7804799,1,1,5,115,Big Spenders
1465,227,1,465.9375554,2,1,5,215,Big Spenders
1476,322,1,91.71012297,1,1,2,112,At Risk
1485,315,1,83.18569843,1,1,2,112,At Risk
1513,353,1,30.01810698,1,1,1,111,At Risk
1528,334,1,13.04879037,1,1,1,111,At Risk
1529,55,1,411.091886,5,1,5,515,Recent Customers
1536,221,1,473.5878543,2,1,5,215,Big Spenders
1557,307,1,195.8877665,1,1,3,113,Others
1559,256,1,121.3565218,2,1,2,212,At Risk
1560,213,1,241.1646007,3,1,4,314,Big Spenders
1576,350,1,305.6870015,1,1,4,114,Big Spenders
1583,113,1,382.7564606,4,1,5,415,Recent Customers
1597,107,1,450.0468869,4,1,5,415,Recent Customers
1606,89,1,263.672453,4,1,4,414,Recent Customers
1614,340,2,372.2632787,1,5,5,155,Frequent Buyers
1635,130,1,489.6531619,4,1,5,415,Recent Customers
1652,174,1,191.4571169,3,1,3,313,Others
1677,56,1,105.0033495,5,1,2,512,Recent Customers
1732,14,1,183.0421881,5,1,3,513,Recent Customers
1759,288,1,426.5495946,2,1,5,215,Big Spenders
1763,219,1,228.143005,2,1,4,214,Big Spenders
1771,188,1,151.5308369,3,1,3,313,Others
1772,36,1,84.44129484,5,1,2,512,Recent Customers
1784,176,1,46.97377912,3,1,1,311,Others
1796,292,1,325.0190263,1,1,4,114,Big Spenders
1804,23,1,160.5256187,5,1,3,513,Recent Customers
1818,140,1,160.0865185,4,1,3,413,Recent Customers
1822,70,1,77.68712274,5,1,2,512,Recent Customers
1825,115,1,181.4259261,4,1,3,413,Recent Customers
1832,235,1,39.65953387,2,1,1,211,At Risk
1856,80,1,345.7289519,4,1,5,415,Recent Customers
1861,136,1,344.8157283,4,1,5,415,Recent Customers
1864,280,1,403.0426973,2,1,5,215,Big Spenders
1872,350,1,41.04102571,1,1,1,111,At Risk
1881,285,1,265.361833,2,1,4,214,Big Spenders
1890,188,1,254.3150268,3,1,4,314,Big Spenders
1895,2,1,258.6628715,5,1,4,514,Recent Customers
1899,315,1,301.9191962,1,1,4,114,Big Spenders
1903,77,1,149.9769732,4,1,3,413,Recent Customers
1909,91,1,46.8604733,4,1,1,411,Recent Customers
1925,170,1,306.6702653,3,1,4,314,Big Spenders
1959,212,1,31.07109361,3,1,1,311,Others
1966,42,1,111.7367707,5,1,2,512,Recent Customers
1973,91,1,330.2486142,4,1,4,414,Recent Customers
1983,44,1,210.6995848,5,1,3,513,Recent Customers
1997,70,1,95.64911432,5,1,2,512,Recent Customers
2019,336,1,319.4284586,1,1,4,114,Big Spenders
2021,216,1,134.5786332,2,1,2,212,At Risk
2028,263,1,376.6892849,2,1,5,215,Big Spenders
2037,244,1,319.537057,2,1,4,214,Big Spenders
2060,130,1,201.9828452,4,1,3,413,Recent Customers
2066,188,1,26.32187791,3,1,1,311,Others
2113,147,1,72.55755199,3,1,1,311,Others
2117,349,1,134.5048083,1,1,2,112,At Risk
2123,309,1,437.7825659,1,1,5,115,Big Spenders
2125,237,1,285.4651589,2,1,4,214,Big Spenders
2128,25,2,566.4061933,5,5,5,555,Champions
2138,7,1,90.68350475,5,1,2,512,Recent Customers
2143,171,1,159.1454991,3,1,3,313,Others
2161,95,1,266.7411524,4,1,4,414,Recent Customers
2188,360,1,191.4702845,1,1,3,113,Others
2193,20,1,261.0232984,5,1,4,514,Recent Customers
2256,174,1,135.5776988,3,1,2,312,Others
2260,56,1,112.448182,5,1,2,512,Recent Customers
2263,192,1,73.68836693,3,1,1,311,Others
2277,98,1,30.21309084,4,1,1,411,Recent Customers
2294,127,2,270.94194386,4,5,4,454,Champions
2339,220,1,243.2348102,2,1,4,214,Big Spenders
2344,339,1,179.8855276,1,1,3,113,Others
2348,29,1,395.9716463,5,1,5,515,Recent Customers
2350,79,1,373.839475,4,1,5,415,Recent Customers
2355,259,1,169.5424556,2,1,3,213,Others
2364,140,1,267.6799376,4,1,4,414,Recent Customers
2392,90,1,92.40134012,4,1,2,412,Recent Customers
2434,104,1,346.6033751,4,1,5,415,Recent Customers
2441,331,1,312.9275985,1,1,4,114,Big Spenders
2445,243,1,108.1261544,2,1,2,212,At Risk
2447,87,1,296.408376,4,1,4,414,Recent Customers
2454,158,1,133.2064971,3,1,2,312,Others
2463,146,1,370.2768302,3,1,5,315,Big Spenders
2471,159,1,174.247988,3,1,3,313,Others
2473,164,1,416.4250886,3,1,5,315,Big Spenders
2482,103,1,445.6844373,4,1,5,415,Recent Customers
2487,183,1,338.4231288,3,1,4,314,Big Spenders
2489,219,1,311.745931,2,1,4,214,Big Spenders
2493,91,1,240.2260798,4,1,4,414,Recent Customers
2513,245,1,47.27092402,2,1,1,211,At Risk
2520,270,1,46.62010687,2,1,1,211,At Risk
2521,35,2,920.1141987000001,5,5,5,555,Champions
2536,120,1,43.67409739,4,1,1,411,Recent Customers
2547,307,1,67.06514133,1,1,1,111,At Risk
2568,284,1,229.8023902,2,1,4,214,Big Spenders
2575,345,1,129.407906,1,1,2,112,At Risk
2581,344,1,314.709863,1,1,4,114,Big Spenders
2588,236,1,394.4933547,2,1,5,215,Big Spenders
2594,107,1,55.47826515,4,1,1,411,Recent Customers
2607,137,1,129.2455405,4,1,2,412,Recent Customers
2608,106,1,157.8906579,4,1,3,413,Recent Customers
2626,102,1,96.06063645,4,1,2,412,Recent Customers
2630,77,1,367.5440359,4,1,5,415,Recent Customers
2647,83,1,54.59730754,4,1,1,411,Recent Customers
2657,143,1,151.7808685,3,1,3,313,Others
2667,35,2,676.0382193,5,5,5,555,Champions
2671,132,1,338.4514263,4,1,4,414,Recent Customers
2676,125,1,343.8756321,4,1,5,415,Recent Customers
2688,80,1,90.98805278,4,1,2,412,Recent Customers
2727,51,1,394.0201474,5,1,5,515,Recent Customers
2734,104,1,92.36381308,4,1,2,412,Recent Customers
2743,287,1,140.9092185,2,1,3,213,Others
2751,278,1,340.0585656,2,1,5,215,Big Spenders
2761,243,1,266.3963217,2,1,4,214,Big Spenders
2771,83,1,82.49177324,4,1,2,412,Recent Customers
2786,325,1,375.2061483,1,1,5,115,Big Spenders
2788,95,1,334.0919907,4,1,4,414,Recent Customers
2795,260,1,414.2955039,2,1,5,215,Big Spenders
2825,286,1,177.5158882,2,1,3,213,Others
2841,317,1,234.8099753,1,1,4,114,Big Spenders
2858,358,1,409.5567442,1,1,5,115,Big Spenders
2866,97,1,406.9856211,4,1,5,415,Recent Customers
2899,98,2,195.20243478999998,4,5,3,453,Loyal Customers
2917,44,1,186.4272902,5,1,3,513,Recent Customers
2940,303,1,482.875908,1,1,5,115,Big Spenders
2948,180,1,119.0022143,3,1,2,312,Others
2963,277,1,177.0160633,2,1,3,213,Others
2967,297,1,276.5301736,1,1,4,114,Big Spenders
2984,275,1,154.6864137,2,1,3,213,Others
2994,257,1,286.1166484,2,1,4,214,Big Spenders
2995,19,1,26.81657252,5,1,1,511,Recent Customers
2996,319,1,413.8183524,1,1,5,115,Big Spenders
3004,254,1,121.8281869,2,1,2,212,At Risk
3010,97,1,47.71861988,4,1,1,411,Recent Customers
3023,132,1,167.1448294,4,1,3,413,Recent Customers
3036,126,1,260.8200149,4,1,4,414,Recent Customers
3037,20,1,464.3039931,5,1,5,515,Recent Customers
3038,229,1,403.5179771,2,1,5,215,Big Spenders
3055,64,1,40.94637596,5,1,1,511,Recent Customers
3061,316,1,107.8081476,1,1,2,112,At Risk
3066,358,1,452.1987635,1,1,5,115,Big Spenders
3078,145,1,212.6684429,3,1,3,313,Others
3081,346,1,90.55359892,1,1,2,112,At Risk
3098,225,1,11.37782999,2,1,1,211,At Risk
3099,73,1,212.1170311,4,1,3,413,Recent Customers
3102,283,1,110.5977201,2,1,2,212,At Risk
3134,155,1,166.9697259,3,1,3,313,Others
3147,157,1,90.949472,3,1,2,312,Others
3152,189,1,346.2996972,3,1,5,315,Big Spenders
3155,86,1,201.6420794,4,1,3,413,Recent Customers
3165,251,1,393.3310113,2,1,5,215,Big Spenders
3210,18,1,183.7117355,5,1,3,513,Recent Customers
3211,310,1,303.6392847,1,1,4,114,Big Spenders
3229,157,1,46.49605866,3,1,1,311,Others
3245,21,1,36.58369315,5,1,1,511,Recent Customers
3268,252,1,256.7188159,2,1,4,214,Big Spenders
3282,44,1,240.0982842,5,1,4,514,Recent Customers
3287,90,1,157.4492589,4,1,3,413,Recent Customers
3296,188,1,233.7658042,3,1,4,314,Big Spenders
3310,46,2,355.65562509999995,5,5,5,555,Champions
3320,63,1,68.02785131,5,1,1,511,Recent Customers
3355,62,1,41.27424527,5,1,1,511,Recent Customers
3361,89,1,250.3012171,4,1,4,414,Recent Customers
3366,356,1,157.2066586,1,1,3,113,Others
3378,269,1,21.44817857,2,1,1,211,At Risk
3380,79,1,192.5747229,4,1,3,413,Recent Customers
3385,18,1,489.4914975,5,1,5,515,Recent Customers
3387,203,1,346.2686091,3,1,5,315,Big Spenders
3390,163,1,393.3202301,3,1,5,315,Big Spenders
3401,73,1,165.1766667,4,1,3,413,Recent Customers
3405,314,1,26.54909643,1,1,1,111,At Risk
3409,16,1,70.59163825,5,1,1,511,Recent Customers
3416,310,1,217.3867903,1,1,3,113,Others
3429,306,1,356.4346044,1,1,5,115,Big Spenders
3446,235,1,276.3749656,2,1,4,214,Big Spenders
3455,52,1,335.6230488,5,1,4,514,Recent Customers
3460,118,1,64.92951701,4,1,1,411,Recent Customers
3481,330,1,68.42845086,1,1,1,111,At Risk
3482,23,1,39.72344346,5,1,1,511,Recent Customers
3494,131,2,373.34055192,4,5,5,455,Champions
3495,146,1,202.9636851,3,1,3,313,Others
3510,236,1,336.8402016,2,1,4,214,Big Spenders
3570,143,1,88.12199029,3,1,2,312,Others
3585,67,1,83.5328788,5,1,2,512,Recent Customers
3593,249,1,286.9140445,2,1,4,214,Big Spenders
3594,103,1,189.4876026,4,1,3,413,Recent Customers
3599,182,1,411.5340983,3,1,5,315,Big Spenders
3602,57,2,441.90985452,5,5,5,555,Champions
3614,38,1,353.9089581,5,1,5,515,Recent Customers
3615,270,1,31.06837129,2,1,1,211,At Risk
3643,135,1,192.155205,4,1,3,413,Recent Customers
3649,175,1,151.1469838,3,1,3,313,Others
3697,154,1,42.14840455,3,1,1,311,Others
3699,177,1,375.4622277,3,1,5,315,Big Spenders
3718,35,1,480.3945203,5,1,5,515,Recent Customers
3720,21,1,208.3944425,5,1,3,513,Recent Customers
3734,166,1,220.3185189,3,1,3,313,Others
3738,260,1,387.0965101,2,1,5,215,Big Spenders
3753,145,1,150.3481373,3,1,3,313,Others
3756,145,1,317.0425646,3,1,4,314,Big Spenders
3757,212,1,127.4182307,3,1,2,312,Others
3761,285,1,49.99640507,2,1,1,211,At Risk
3811,283,1,465.7216199,2,1,5,215,Big Spenders
3822,148,1,262.848937,3,1,4,314,Big Spenders
3830,314,1,39.85962185,1,1,1,111,At Risk
3843,167,1,129.4669367,3,1,2,312,Others
3852,166,1,23.0811335,3,1,1,311,Others
3856,318,1,181.4197317,1,1,3,113,Others
3884,147,1,41.39197409,3,1,1,311,Others
3887,4,2,147.20212378,5,5,3,553,Loyal Customers
3891,161,1,60.0681327,3,1,1,311,Others
3893,152,1,137.7362149,3,1,2,312,Others
3908,190,1,335.9496643,3,1,4,314,Big Spenders
3910,87,1,31.715756,4,1,1,411,Recent Customers
3911,74,1,89.40861097,4,1,2,412,Recent Customers
3926,254,1,137.4736306,2,1,2,212,At Risk
3937,334,1,216.1327521,1,1,3,113,Others
3941,349,1,171.0042395,1,1,3,113,Others
3954,309,1,53.74598536,1,1,1,111,At Risk
3957,112,1,263.6202844,4,1,4,414,Recent Customers
3961,141,1,493.0762163,4,1,5,415,Recent Customers
3965,243,1,128.0015444,2,1,2,212,At Risk
3977,32,1,350.8955062,5,1,5,515,Recent Customers
3978,233,1,84.51146692,2,1,2,212,At Risk
3988,209,1,196.1862052,3,1,3,313,Others
3990,174,1,233.5221511,3,1,4,314,Big Spenders
4022,365,1,215.4052455,1,1,3,113,Others
4031,320,1,362.3360257,1,1,5,115,Big Spenders
4033,203,1,363.883086,3,1,5,315,Big Spenders
4037,203,1,358.3173483,3,1,5,315,Big Spenders
4039,208,1,362.7787315,3,1,5,315,Big Spenders
4044,75,1,205.1271004,4,1,3,413,Recent Customers
4045,330,1,27.46458723,1,1,1,111,At Risk
4101,222,1,289.9724006,2,1,4,214,Big Spenders
4118,173,1,205.6620216,3,1,3,313,Others
4123,27,1,12.64884276,5,1,1,511,Recent Customers
4127,66,1,143.2019072,5,1,3,513,Recent Customers
4135,162,1,40.7104431,3,1,1,311,Others
4137,288,1,47.42936304,2,1,1,211,At Risk
4175,344,1,82.68404955,1,1,2,112,At Risk
4182,2,1,83.94766305,5,1,2,512,Recent Customers
4188,25,1,41.33249286,5,1,1,511,Recent Customers
4212,225,1,161.1479958,2,1,3,213,Others
4213,110,1,275.0915439,4,1,4,414,Recent Customers
4216,107,1,181.6570473,4,1,3,413,Recent Customers
4232,353,1,41.22445932,1,1,1,111,At Risk
4240,66,1,112.2478512,5,1,2,512,Recent Customers
4277,86,1,80.77242888,4,1,2,412,Recent Customers
4288,56,1,178.7587357,5,1,3,513,Recent Customers
4290,96,1,134.5004006,4,1,2,412,Recent Customers
4295,315,1,232.4573023,1,1,4,114,Big Spenders
4301,349,1,32.7384751,1,1,1,111,At Risk
4327,129,2,248.0636151,4,5,4,454,Champions
4334,40,1,128.316836,5,1,2,512,Recent Customers
4339,94,1,212.8025223,4,1,3,413,Recent Customers
4346,315,1,465.0478528,1,1,5,115,Big Spenders
4348,242,1,228.8459347,2,1,4,214,Big Spenders
4356,331,1,257.4695906,1,1,4,114,Big Spenders
4358,307,1,64.2511361,1,1,1,111,At Risk
4373,40,1,289.515826,5,1,4,514,Recent Customers
4385,209,1,204.6017206,3,1,3,313,Others
4397,357,1,130.6854369,1,1,2,112,At Risk
4402,65,1,165.7138626,5,1,3,513,Recent Customers
4406,68,2,306.14486682,5,5,4,554,Champions
4412,21,1,81.56258904,5,1,2,512,Recent Customers
4413,313,1,146.1947444,1,1,3,113,Others
4424,320,1,373.6703162,1,1,5,115,Big Spenders
4428,196,1,48.73871604,3,1,1,311,Others
4429,252,1,339.6621649,2,1,5,215,Big Spenders
4438,280,1,180.7959135,2,1,3,213,Others
4441,212,1,64.77648498,3,1,1,311,Others
4455,179,1,26.34219761,3,1,1,311,Others
4465,135,1,11.99228271,4,1,1,411,Recent Customers
4472,38,1,305.5379255,5,1,4,514,Recent Customers
4476,141,1,82.42539206,4,1,2,412,Recent Customers
4480,234,1,363.8164898,2,1,5,215,Big Spenders
4515,327,1,225.3695553,1,1,4,114,Big Spenders
4520,91,1,368.9205656,4,1,5,415,Recent Customers
4538,7,1,57.58543739,5,1,1,511,Recent Customers
4577,320,1,359.0625697,1,1,5,115,Big Spenders
4595,29,1,120.897667,5,1,2,512,Recent Customers
4611,360,1,189.7027278,1,1,3,113,Others
4632,175,1,67.5204362,3,1,1,311,Others
4664,277,1,397.2512567,2,1,5,215,Big Spenders
4666,15,1,477.4819374,5,1,5,515,Recent Customers
4669,181,1,150.6934388,3,1,3,313,Others
4681,104,1,172.7212188,4,1,3,413,Recent Customers
4706,133,1,448.5654755,4,1,5,415,Recent Customers
4719,190,1,201.2145028,3,1,3,313,Others
4741,257,1,383.7799261,2,1,5,215,Big Spenders
4743,38,1,90.06630841,5,1,2,512,Recent Customers
4750,293,1,102.6022068,1,1,2,112,At Risk
4751,17,1,137.3371145,5,1,2,512,Recent Customers
4763,44,1,224.7224627,5,1,3,513,Recent Customers
4779,224,1,189.8533077,2,1,3,213,Others
4793,287,1,56.00492706,2,1,1,211,At Risk
4807,226,1,129.1863099,2,1,2,212,At Risk
4811,183,1,42.33884661,3,1,1,311,Others
4820,72,1,245.6292127,4,1,4,414,Recent Customers
4855,171,1,237.1541649,3,1,4,314,Big Spenders
4863,45,1,384.8668777,5,1,5,515,Recent Customers
4865,13,2,372.0688209,5,5,5,555,Champions
4878,237,2,431.116312019,2,5,5,255,Frequent Buyers
4887,200,1,328.5851702,3,1,4,314,Big Spenders
4897,76,1,139.604662,4,1,2,412,Recent Customers
4898,120,1,184.7830703,4,1,3,413,Recent Customers
4901,14,1,245.35932,5,1,4,514,Recent Customers
4934,153,1,105.1867587,3,1,2,312,Others
4937,216,1,32.83644451,2,1,1,211,At Risk
4952,66,1,124.0642462,5,1,2,512,Recent Customers
4953,276,1,165.0921169,2,1,3,213,Others
4954,10,1,29.07499093,5,1,1,511,Recent Customers
4956,299,1,439.5895221,1,1,5,115,Big Spenders
4963,12,3,941.5139406000001,5,5,5,555,Champions
4973,350,1,65.94093836,1,1,1,111,At Risk
4981,303,1,53.40432564,1,1,1,111,At Risk
4986,48,1,67.34794647,5,1,1,511,Recent Customers
5004,23,1,357.6852256,5,1,5,515,Recent Customers
5010,265,1,19.47595191,2,1,1,211,At Risk
5020,213,1,258.4257785,3,1,4,314,Big Spenders
5021,292,1,27.87926283,1,1,1,111,At Risk
5029,355,1,46.5961727,1,1,1,111,At Risk
5030,110,1,302.4621524,4,1,4,414,Recent Customers
5059,41,2,145.48839819,5,5,3,553,Loyal Customers
5078,32,1,133.4750259,5,1,2,512,Recent Customers
5083,174,1,70.80988203,3,1,1,311,Others
5108,77,1,83.42675978,4,1,2,412,Recent Customers
5119,298,1,256.6449942,1,1,4,114,Big Spenders
5134,271,1,391.3359892,2,1,5,215,Big Spenders
5148,206,1,249.8660486,3,1,4,314,Big Spenders
5170,90,1,468.3189947,4,1,5,415,Recent Customers
5196,122,1,195.8671582,4,1,3,413,Recent Customers
5224,143,1,73.96124544,3,1,1,311,Others
5225,307,1,144.3983962,1,1,3,113,Others
5247,263,1,21.34076852,2,1,1,211,At Risk
5282,259,1,48.28358247,2,1,1,211,At Risk
5306,99,1,86.3871757,4,1,2,412,Recent Customers
5311,100,1,474.6254916,4,1,5,415,Recent Customers
5312,316,1,151.3917725,1,1,3,113,Others
5336,231,1,138.5247288,2,1,2,212,At Risk
5364,125,1,245.9959129,4,1,4,414,Recent Customers
5376,317,1,376.3224298,1,1,5,115,Big Spenders
5414,2,1,352.5894981,5,1,5,515,Recent Customers
5417,291,1,48.287116,1,1,1,111,At Risk
5421,355,1,58.7222444,1,1,1,111,At Risk
5440,321,1,243.406119,1,1,4,114,Big Spenders
5449,197,1,68.0556771,3,1,1,311,Others
5453,179,1,461.291946,3,1,5,315,Big Spenders
5459,28,1,80.67207512,5,1,2,512,Recent Customers
5463,219,1,325.9994527,2,1,4,214,Big Spenders
5481,93,1,135.46209,4,1,2,412,Recent Customers
5489,63,1,131.0985001,5,1,2,512,Recent Customers
5500,316,1,303.4780576,1,1,4,114,Big Spenders
5507,25,1,238.710975,5,1,4,514,Recent Customers
5512,75,1,156.2750785,4,1,3,413,Recent Customers
5514,334,2,631.0325303,1,5,5,155,Frequent Buyers
5521,14,1,106.1618604,5,1,2,512,Recent Customers
5548,258,1,219.0818363,2,1,3,213,Others
5559,123,1,70.67876291,4,1,1,411,Recent Customers
5600,241,1,90.90440027,2,1,2,212,At Risk
5603,277,1,468.0039875,2,1,5,215,Big Spenders
5610,242,1,102.5691085,2,1,2,212,At Risk
5612,69,1,67.26601084,5,1,1,511,Recent Customers
5666,14,1,183.0713719,5,1,3,513,Recent Customers
5667,122,1,194.8991424,4,1,3,413,Recent Customers
5672,263,1,79.7104859,2,1,2,212,At Risk
5674,181,1,276.7456739,3,1,4,314,Big Spenders
5700,363,1,436.8156784,1,1,5,115,Big Spenders
5719,27,1,186.1516591,5,1,3,513,Recent Customers
5741,349,1,252.5896498,1,1,4,114,Big Spenders
5745,74,1,146.3871315,4,1,3,413,Recent Customers
5750,111,1,345.7799027,4,1,5,415,Recent Customers
5762,32,1,137.2669345,5,1,2,512,Recent Customers
5778,261,1,287.5710694,2,1,4,214,Big Spenders
5781,251,1,498.0570386,2,1,5,215,Big Spenders
5784,210,1,276.7895727,3,1,4,314,Big Spenders
5797,18,1,331.273471,5,1,4,514,Recent Customers
5800,77,1,63.4992005,4,1,1,411,Recent Customers
5812,266,1,252.6038872,2,1,4,214,Big Spenders
5816,203,1,314.5037429,3,1,4,314,Big Spenders
5832,5,2,401.01244629999997,5,5,5,555,Champions
5837,29,1,232.4637408,5,1,4,514,Recent Customers
5863,76,1,136.6707952,4,1,2,412,Recent Customers
5865,300,1,95.9102344,1,1,2,112,At Risk
5873,352,1,60.57215664,1,1,1,111,At Risk
5909,170,1,93.54787605,3,1,2,312,Others
5913,132,1,199.7740745,4,1,3,413,Recent Customers
5941,339,1,61.47242829,1,1,1,111,At Risk
5962,189,1,47.45411748,3,1,1,311,Others
5965,204,1,293.328574,3,1,4,314,Big Spenders
